airbnb_listing_id,occ,rev_window,adr,nights,number_of_bedrooms,number_of_guests,listing_type,number_of_reviews,star_rating,is_professional,cleaning_fee,picture_count,min_nights,number_of_bathrooms,is_guest_favorite,can_instant_book,suburb,micro_zone,dist_beach_km,comp_300m,comp_1km,rev_annual_gross,occ_paid,bed_bucket,am_crib,am_workspace,am_pool,am_grill,am_gym,am_elevator,am_beach,am_seaview,am_spa,am_parking,am_dishwasher,tx_family,tx_couple,tx_group,tx_biz,tx_long,tx_luxury,tx_seafront,pets_ok,guests,bedrooms,beds,baths,beds_per_bed,guests_per_bed,cleaning_fee_c,price_wd,price_we,weekend_price_premium,occ_wd,occ_we,weekend_occ_lift,occ_high,occ_low,season_concentration,segment
32443120,0.9860372087002048,46759.42724303757,451.24520585787906,105,2,5,apartamento,12,4.920000076293945,False,250.0,17,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.2950345910229124,437,1970,93627.98785507269,0.8874334878301843,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2,2,2.0,1.0,2.5,250.0,529.0,503.83333,-0.04757404536862009,1.0,1.0,0.0,,,,Famílias
32486859,0.8909301624446299,96524.85276349635,1024.7219328009508,105,4,8,apartamento,70,4.889999866485596,False,400.0,129,0,4.0,True,False,Meia Praia,Meia Praia (beach band),0.2770271229515266,178,1077,193274.98806348143,0.8018371462001669,4,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,8,4,5,4.0,1.25,2.0,400.0,899.0,899.0,0.0,0.9259259259259259,0.6666666666666667,-0.2592592592592592,0.8928571428571429,0.10810810810810811,0.7847490347490348,Grupos e amigos
32585103,0.8786909704487034,41071.38924419217,441.7385835683247,105,2,5,apartamento,75,4.909999847412109,False,250.0,19,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1066610511981461,260,1218,82238.63635795,0.790821873403833,2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,5,2,2,2.0,1.0,2.5,250.0,600.0,300.0,-0.5,1.0,1.0,0.0,0.7857142857142857,0.2702702702702703,0.5154440154440154,Famílias
32600458,0.8984239604837169,59784.07280515497,629.6900681765526,105,3,8,apartamento,31,4.900000095367432,False,350.0,11,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.0657477070668803,271,1350,119707.67762903444,0.8085815644353452,3,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,8,3,4,3.0,1.3333333333333333,2.6666666666666665,350.0,511.1111,500.0,-0.02173910916824151,0.8888888888888888,1.0,0.11111111111111116,0.75,0.2432432432432432,0.5067567567567568,Grupos e amigos
32606991,0.6839898811871501,44413.04381116657,605.3749350688629,105,3,8,apartamento,22,4.769999980926514,False,190.0,20,0,3.0,False,False,Meia Praia,Meia Praia (inland),0.4806319009414136,365,1818,88929.74468967396,0.6155908930684351,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8,3,4,3.0,1.3333333333333333,2.6666666666666665,190.0,536.5,593.16665,0.10562283317800558,0.7777777777777778,0.6666666666666667,-0.11111111111111105,0.6428571428571428,0.0,0.6428571428571428,Grupos e amigos
32697747,0.9338748496409324,36468.50498078459,370.3762671701763,105,2,5,apartamento,65,4.889999866485596,False,300.0,29,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.2155367655370738,413,1845,73022.12500778589,0.8404873646768393,2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,5,2,3,2.0,1.5,2.5,300.0,350.0,325.0,-0.0714285714285714,1.0,1.0,0.0,0.9285714285714286,0.6216216216216216,0.306949806949807,Famílias
32766950,0.8738743464297513,34264.406768417335,370.44055209687815,105,2,6,apartamento,11,4.820000171661377,False,250.0,14,0,2.0,False,False,Centro,Centro,0.1710478740769471,178,753,68608.78436555984,0.7864869117867761,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2,4,2.0,2.0,3.0,250.0,300.0,300.0,0.0,0.6666666666666667,0.5,-0.16666666666666674,0.8214285714285714,0.0,0.8214285714285714,Famílias
32990586,0.5428667370218169,60709.67143968471,1031.3173640793698,105,3,6,apartamento,23,4.960000038146973,False,350.0,23,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0638351557868757,271,1348,121561.03518326592,0.4885800633196352,3,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,6,3,5,2.0,1.6666666666666667,2.0,350.0,1026.0,978.8333,-0.045971442495126746,0.7777777777777778,0.8333333333333334,0.05555555555555558,0.7142857142857143,0.0,0.7142857142857143,Alto padrão e frente-mar
33336758,0.9345506670946038,44826.64538616849,454.9523988634683,105,2,6,apartamento,29,4.860000133514404,False,250.0,27,0,2.0,True,False,Meia Praia,Meia Praia (inland),0.4251318293968973,379,1894,89757.91315803098,0.8410956003851434,2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,6,2,2,2.0,1.0,3.0,250.0,424.0,452.0,0.0660377358490567,1.0,1.0,0.0,,0.5135135135135135,,Famílias
34218930,0.8499760937146789,69344.52692406235,769.5560190500184,105,3,8,apartamento,20,4.900000095367432,False,300.0,63,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.2402357532154003,450,1962,138850.89932594524,0.764978484343211,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,8,3,5,3.0,1.6666666666666667,2.6666666666666665,300.0,800.0,596.25,-0.25468749999999996,0.8518518518518519,0.9166666666666666,0.06481481481481477,0.8214285714285714,0.08108108108108103,0.7403474903474904,Grupos e amigos
