airbnb_listing_id,nights,occ,adr,revpan,rev_window,adr_booked
1977915,105,0.9423058505788742,917.4734895634831,867.6597392764013,91104.27262402214,920.7835637902317
2951220,105,0.6234676474229349,805.2603567748625,515.2025064863836,54096.26318107029,826.350025724577
3263701,105,0.9924179970078393,1484.358669324412,1473.792050509657,154748.165303514,1485.0517170720104
3977675,105,0.9422524497921204,237.50776581863894,224.60043596730347,23583.045776566865,238.36545717323932
5443557,105,0.5939620439765791,796.0063692000801,486.2904110506925,51060.493160322716,818.723041282193
6569062,105,0.128275130132188,740.1300761622404,101.77423319036936,10686.294484988783,793.4058073883116
8287843,105,0.8797706573883626,669.1479601443511,593.211265243866,62287.18285060593,674.279438922002
8838629,105,0.9341463537515976,789.4784371055215,740.5331636739927,77755.98218576923,792.7378410245453
8936081,105,0.9886740316759013,523.236493485427,517.6715419746063,54355.51190733366,523.6018398269258
9327293,105,0.9859988048504822,938.0442837530427,925.7095446905302,97199.50219250566,938.8546316046558
9658725,105,0.9971307883470126,340.0334496018014,339.1176435938481,35607.352577354046,340.09344366551784
9784227,105,0.9937404332308749,447.3018013403739,444.6731573460641,46690.68152133673,447.4741516759373
10266012,105,0.9062893691287485,132.25489587738795,120.57159755722932,12660.017743509079,133.03874200040497
10340400,105,0.9989982595316333,335.57685363790347,335.2613318993022,35202.43984942673,335.5975135096681
10982940,105,0.787777665516541,1882.415311991902,1503.6131101498838,157879.3765657378,1908.6769985589444
11044577,105,0.9237216656454172,413.70447806975153,383.98124586663977,40318.030815997176,415.68933602780305
11508986,105,0.9959217633764692,324.1290857138702,322.88819430524865,33903.260402051106,324.2104010364851
11567423,105,0.9279099011784195,909.035201018411,847.3224586192308,88968.85815501923,913.151651408348
12067632,105,0.9901510862592603,716.8374291410108,710.2081316587954,74571.85382417352,717.2724865070088
12359560,105,0.9825687318446387,780.9794926097552,768.1921938638519,80660.18035570445,781.8203133959655
12490354,105,0.8646281373973619,765.4015343990568,667.5299131009772,70090.6408756026,772.0427825889697
12931525,105,0.9786726971837765,488.2891761395222,478.5055159995357,50243.07917995125,488.9331411578976
13522176,105,0.9839493137384682,2198.130555324115,2164.992300636855,227324.19156686976,2200.308766323614
14872547,105,0.8594454162561314,594.6704663178544,515.698934209628,54148.38809201094,600.036866164331
14884678,105,0.982940803125045,692.4119063476974,681.3169435248653,71538.27907011086,693.1413787674368
15024197,105,0.9941822712361447,732.6386088113964,728.6371227664596,76506.89789047826,732.900941655787
15500038,105,0.8032671809399665,513.2473730083033,417.5791971625001,43845.815702062515,519.8509376093987
15523493,105,0.9543202131895372,656.4630950738945,628.2588819533133,65967.1826050979,658.3313161245334
15549803,105,0.9810923566214718,758.689798877887,745.2144060027435,78247.51263028807,759.5762019479932
15732070,105,0.9551687758641416,781.237924926284,748.2977188422399,78571.26047843519,783.4193681271195
15754075,105,0.9782431992726011,720.7631787169712,706.0304031981359,74133.19233580427,721.733004352214
15791567,105,0.9807313702757423,632.8216823164682,621.3671012813779,65243.54563454469,633.575227747303
15909831,105,0.8828433693051234,803.6016115309479,714.750652728876,75048.81853653198,809.6007486485951
15934309,105,0.9190455305893747,859.837849429039,794.2598256090541,83397.28168895068,864.2224995095762
15980018,105,0.9967568261120787,502.15542760162856,500.6266823977225,52565.80165176086,502.2555845947428
15980108,105,0.9746395705781333,1660.173992631283,1620.611873728505,170164.24674149303,1662.7807064792128
16017693,105,0.9795084605799114,791.8329308154183,776.5896061345362,81541.9086441263,792.8360370412335
16105751,105,0.9906216669643344,318.96884845104745,316.16003418432007,33196.80358935361,319.1531587969021
16177778,105,0.6047520378830256,767.2027631897428,476.80722439380963,50064.75856135001,788.4342582174751
16253828,105,0.8733202578179335,1682.0154195526466,1480.8319974396306,155487.3597311612,1695.6345443533141
16270332,105,0.9287950777716185,811.2189450460085,756.825263627417,79466.65268087879,814.8463334271814
16321793,105,0.8699350783332515,552.839057944526,484.936598290592,50918.34282051216,557.4399864639373
16350860,105,0.8884599112220566,655.2978758376721,586.3364298092305,61565.325129969206,659.9469738626
16451544,105,0.9919584243386655,593.5383864099568,589.0570001999978,61850.98502099977,593.8323479562356
16527828,105,0.5837064503418663,1098.192157393442,659.8460534214507,69283.83560925233,1130.4415996002629
16570256,105,0.9548048537781787,526.8075175377036,504.4144528487467,52963.517549118405,528.2906248881856
16586622,105,0.9341463537515976,661.6508731382958,620.6305217520106,65166.20478396111,664.3825341280996
16618715,105,0.7590775253951919,813.6507902005544,627.5005575802438,65887.5585459256,826.6620161801703
16644316,105,0.8239247935438284,809.9756852529732,674.9915093256963,70874.10847919811,819.2392250055411
16662563,105,0.8914940415689017,1736.0384316396846,1558.3390049814432,163625.59552305154,1748.0083234644953
16730935,105,0.5424220352509025,263.3324140592343,147.51638159848522,15489.22006784095,271.9586816384591
16992951,105,0.9227459440652552,657.7412724539139,609.878144635674,64037.20518674576,660.9383097895732
17013106,105,0.8966730483850025,1792.9579790884325,1618.2355496340163,169914.7327115717,1804.7108168898571
17034886,105,0.9578217967028914,731.9543656382335,702.9221137660654,73806.82194543687,733.8756710128471
17294276,105,0.985853086487372,999.5428669981859,986.2625771147259,103557.57059704621,1000.4153667853418
17511306,105,0.8733992055088224,1014.2040363269309,892.9726291857066,93762.1260644992,1022.410626839855
17570590,105,0.9247548252872951,1647.6963368112831,1530.9242100494448,160747.0420551917,1655.4919944038468
18395333,105,0.932651943938279,658.3928500552291,616.6452575972927,64747.75204771573,661.1740441920969
18505349,105,0.9921708599716671,756.4501728976954,750.8896894032425,78843.41738734047,756.8148992248023
