listing_id,link_url,micro_zone,bedrooms,usable_area,sale_price,ppsm,ppsm_ratio,monthly_condo_fee,yearly_iptu,dist_beach_km,guests_est,rev_pred,rev_adj,capex,noi_adj,net_yield_adj,payback_adj,n_comps,advertiser_name
2729536463,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS461000-id-2729536463/,Morretes,2,70,461000.0,6585.714285714285,0.5598556962477451,370.0,,0.3257284929846319,6.0,115051.24138019844,93911.31988801272,534166.5,51970.97691420609,0.0972935908826294,10.27816931134091,51.0,Airton Investimentos Imobiliários Itapema
2673147348,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS700000-id-2673147348/,Morretes,2,70,700000.0,10000.0,0.8501062632829103,310.0,50.0,0.05,6.0,130968.16522512728,123731.81083946757,767550.0,74324.66967536995,0.0968336521078365,10.326988378857932,51.0,CADORE IMOVEIS LTDA - EPP
2732128414,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-59m2-venda-RS525000-id-2732128414/,Morretes,2,59,525000.0,8898.305084745763,0.7564504885144541,416.0,,0.3257284929846319,4.0,109855.16268836232,99630.80727430125,583462.5,55399.366823236895,0.0949493186335658,10.5319344508333,51.0,Reggiori Imóveis
2692570680,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS530000-id-2692570680/,Morretes,2,60,530000.0,8833.333333333334,0.7509271992332375,350.0,,0.3257284929846319,4.0,109855.16268836232,99375.58857461548,589545.0,55940.69186348828,0.0948879082402332,10.538750601059116,51.0,Imobiliária Morada do Sol
2767583935,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-56m2-venda-RS600000-id-2767583935/,Morretes,2,56,600000.0,10714.285714285714,0.9108281392316896,300.0,100.0,0.3257284929846319,4.0,109855.16268836232,106322.02152075016,653100.0,61446.83822039603,0.0940848847349502,10.628699847134149,51.0,HRM Imóveis
2736636062,https://www.vivareal.com.br/imovel/apartamento-3-quartos-andorinha-bairros-itapema-com-garagem-70m2-venda-RS690000-id-2736636062/,Meia Praia (inland),3,70,690000.0,9857.142857142857,0.7786966521850243,,,0.4580544642579884,6.0,133096.5161284585,121939.83285217448,757785.0,71243.57718973995,0.0940155547942225,10.636537774932664,58.0,My Broker Florianópolis
2663299459,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS450000-id-2663299459/,Morretes,2,70,450000.0,6428.571428571428,0.5464968835390137,,,0.3257284929846319,6.0,112386.99400293404,90964.46021626992,523425.0,48755.78917681186,0.09314761269869,10.73564819352652,51.0,Winner Brokers
2736865251,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-70m2-venda-RS899000-id-2736865251/,Meia Praia (beach band),3,70,899000.0,12842.857142857143,0.9953214285714286,450.0,500.0,0.1595238489308625,6.0,147325.27819684698,147083.66528509677,961873.5,88588.74279205965,0.0921002011096673,10.857739591787212,269.0,Crédito Real | Bombinhas
2750112194,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-52m2-venda-RS458000-id-2750112194/,Morretes,2,52,458000.0,8807.692307692309,0.7487474395837941,,,0.3257284929846319,4.0,98164.92389978,88710.23032598673,509637.0,46878.0052645853,0.0919831277253914,10.871558999226725,51.0,José Junior - Corretor de Imóveis
2677690820,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-60m2-venda-RS490000-id-2677690820/,Morretes,2,60,490000.0,8166.666666666667,0.6942534483477101,3.0,,0.3257284929846319,4.0,98164.92389978,86394.80926848015,550485.0,50092.06841858004,0.0909962458896791,10.989464347928893,51.0,Eraci Eponina Jaques de Oliveira
