case,area,ask,capex,adr,occ,rev,opex,noi,net_yield,payback,n_listed
"RECOMMENDED: compact 2BR, Morretes",69.0,790000.0,854235.0,491.1448215259253,0.695937838429473,98785.3832134981,45734.85563890372,53050.52757459439,0.062102966484157626,16.102290383424737,827
"compact 2BR, Tabuleiro",69.0,780000.0,844470.0,461.69793724710536,0.7391983943446032,104588.20400049788,47512.97442720969,57075.22957328819,0.06758704225524671,14.795735493549742,103
"compact 3BR, Morretes (higher yield, higher location risk)",70.0,849560.0,913595.34,723.952518523213,0.7608736780445532,124256.02767263968,53049.463696409715,71206.56397622997,0.07794103237898517,12.830212398747038,141
"SLEEVE / liquidity: compact 2BR, beach band",86.0,1099200.0,1176568.7999999998,515.0379163498851,0.7828146027546745,124442.138539649,56956.71755817533,67485.42098147367,0.05735781960347213,17.434414468911672,229
HYPOTHESIS: 1BR in Centro,43.5,895000.0,926167.5,488.68610675095533,0.5936149804707733,86118.10833647431,44297.24772152731,41820.860614947,0.04515474859023557,22.146065058952487,16
"large 4BR, beach band (avoid)",190.0,3500000.0,3645750.0,1157.3640972297933,0.7575894202466068,221958.42790807795,103185.09180916612,118773.33609891184,0.03257857398310686,30.695020614423925,1162
