segment,n,guests,dorm,adr,occ,rev,wk_price,wk_occ,season,fee,prof,star
Alto padrão e frente-mar,120,8.0,3.0,1220.509549057433,0.7482666816758434,176037.06492724092,0.0,0.0,0.4155405405405405,300.0,0.211864406779661,4.944999933242798
Grupos e amigos,217,8.0,3.0,682.5674980500048,0.8499760937146789,107606.4867984279,0.0,0.0,0.5714285714285714,300.0,0.05069124423963134,4.929999828338623
Famílias,407,6.0,2.0,554.3561599336258,0.8298649500572667,87288.59027671206,0.0,0.0,0.5907335907335908,250.0,0.16,4.940000057220459
Casais e escapadas curtas,167,4.0,1.0,499.3375181420517,0.6955236044456874,70092.4904440902,0.042944785276073594,0.0,0.6428571428571428,190.0,0.49700598802395207,4.920000076293945
